title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
Adani stocks in news on report promoters may cut stakes in group firms,Amit Mudgill,2023-07-06 02:46:57,full,https://www.businesstoday.in/markets/company-stock/story/adani-stocks-in-news-on-report-promoters-may-cut-stakes-in-group-firms-388392-2023-07-06,businesstoday.in,"Adani group recently sold stakes in Adani firms to Rajiv Jain's GQG Partners and if one goes by a media report, the promoters are in discussions with other global investors to potentially divest more.","Shares of Adani group companies including 
Adani Enterprises Ltd
, Adani Ports & SEZ, Adani Wilmar Ltd, Adani Green Energy Ltd and Adani Transmission Ltd would be in focus on Thursday morning after a media report citing sources said the promoters of the Gautam Adani-led group may continue to cut holdings in group companies in the coming months to make room for a liquidity buffer that can be deployed to tap new opportunities and infuse equity in various units.
 
The Adani group has recently sold stakes in Adani firms to Rajiv Jain's GQG Partners and if one goes by the Economic Times fresh report, the promoters are in discussions with other global investors to potentially divest more.",businesstoday.in,5004,news,IN,en,Amit Mudgill,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202307/fmrjos9amaah-h6-sixteen_nine.jpg,False,@business_today,16.75278,36d5a3c735a4bb0d517a1946e4ae1cb6
"Adani Green plans to raise ₹12,300 crore",Mayur Bhalerao,2023-07-06 14:17:35,full,https://www.livemint.com/industry/energy/adani-green-plans-to-raise-rs-12-300-crore-11688652793339.html,livemint.com,"Following a board meeting, the company said it will raise the capital via qualified institutional placement or any other eligible securities","Mumbai: Adani Green Energy Ltd (AGEL), on Thursday, said the renewables energy firm is planning to raise up to Rs. 12,300 crore.

Following a board meeting, the company said it will raise the capital via qualified institutional placement (QIP) or any other eligible securities, according to an exchange filing.

The amount of funds to be raised will be subject to regulatory and statutory approvals, as well as the approval of AGEL's shareholders by way of postal ballot process, said the filing.

Following the announcement, shares of Adani Green rose as much as 2.",livemint.com,1404,energy,IN,en,Mayur Bhalerao,https://www.livemint.com/lm-img/img/2023/07/06/600x338/Adani_1688652957192_1688652957459.JPG,False,@mint,16.539143,9d4f9df84731eff1ff6262f8683ba486
"Board of Adani Green Energy Ltd to raise Rs 12,300 crore through qualified institutional placement",Our Special Correspondent,2023-07-06 22:48:42,full,https://www.telegraphindia.com/business/board-of-adani-green-energy-ltd-to-raise-rs-12300-crore-through-qualified-institutional-placement/cid/1950309,telegraphindia.com,Sources aware of the matter say investors in Europe and West Asia have evinced strong interest,"The board of Adani Green Energy Ltd (AGEL) on Thursday approved a proposal to raise up to Rs 12,300 crore through qualified institutional placement (QIP).
 
This would take the total amount that will be raised by three Adani group firms — Adani Enterprises, Adani Transmission and AGEL — to Rs 33,300 crore via the issue of shares to institutions.
 
Sources aware of the matter said investors in Europe and West Asia have evinced strong interest.
 
AGEL shares ended firm on the announcement, rising 1.",telegraphindia.com,5415,business,IN,en,Our Special Correspondent,https://assets.telegraphindia.com/telegraph/2023/Jul/1688683541_adani.gif,False,@ttindia,16.465235,42941e8d98eb721873d8243a70aef92c
"Adani Green weighs raising Rs 12,300 cr to fund expansion: Report",Business Today Desk,2023-07-06 09:00:00,timezone unknown,https://www.businesstoday.in/latest/corporate/story/adani-green-weighs-raising-rs-12300-cr-to-fund-expansion-report-388472-2023-07-06,businesstoday.in,"At 1400 hours on Thursday, Adani Green Energy's scrip on BSE was trading 0.7% higher at Rs 95","Gautam Adani-led Adani Group's renewable energy unit, Adani Green Energy, is considering raising about Rs 12,300 crore to fund the coal-dependent conglomerate's green diversification, said a report on Thursday.

By selling shares through qualified institutional placement, or QIP, Adani Green is looking to bring on board more institutional investors and attract more research analysts to cover the firm, reported Bloomberg citing people familiar with the matter. Only one analyst currently tracks the company, according to data compiled by Bloomberg.",businesstoday.in,5004,news,IN,en,Business Today Desk,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202307/adani6-sixteen_nine.jpg,False,@business_today,16.422113,e85b04af2d226e1fbe60850cb79269cf
Adani Green To Raise Rs 12 300 Crore Through QIP,BW Online Bureau,2023-07-06 10:57:49,full,https://www.businessworld.in/article/Adani-Green-To-Raise-Rs-12-300-Crore-Through-QIP/06-07-2023-483252,businessworld.in,"The move comes as part of the tycoon's conglomerate's efforts to recover from the crisis triggered by Hindenburg Research's fraud allegations against Adani Group in January, , adani group, Adani Green…","The move comes as part of the tycoon's conglomerate's efforts to recover from the crisis triggered by Hindenburg Research's fraud allegations against Adani Group in January





1581005983_mb3ZWO_6a9780033762d3afc451be981a6e4d3a.jpg

 


 


 
Adani Green has announced its plan to raise funds amounting to Rs 12,300 crore through the qualified institutional placement (QIP) route. The company's board of directors approved the capital raising plan to support its expansion. Adani Green stated in a filing with the Bombay Stock Exchange (BSE) that the funds will be raised by issuing equity shares and/or other eligible securities, either individually or in combination, not exceeding Rs 12,300 crore through QIP or other permissible methods.",businessworld.in,9204,business,IN,en,BW Online Bureau,https://static.businessworld.in/article/article_extra_large_image/1581005983_mb3ZWO_6a9780033762d3afc451be981a6e4d3a.jpg,False,,16.330626,e78bef208307215ebd9b00a5ef62505d
Adani Power Stocks Live Updates: Adani Power Closes at Rs 245.65 with -1.28% 6-Month Relative Return Against Nifty50,Economic Times,2023-07-06 03:01:00,full,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/adani-power-stocks-live-updates-06-jul-2023/liveblog/101530064.cms,indiatimes.com,"Welcome to the Adani Power Stock Liveblog, your daily source for real-time updates on one of India's leading companies. This comprehensive platform provides timely information on Adani Power stock,…","Welcome to the Adani Power Stock Liveblog, your daily source for real-time updates on one of India's leading companies. This comprehensive platform provides timely information on Adani Power stock, including price movements, trading volumes and news encompassing both fundamental and technical observations.
 Stay tuned as we bring you insightful market analysis, expert opinions, and the latest developments impacting Adani Power's stock performance. Whether you're an investor, trader, or simply interested in tracking Adani Power financial journey, our liveblog is your go-to resource for staying informed and making informed decisions in this dynamic market.","Copyright:(C)2023 Bennett Coleman & Co. Ltd, http://info.indiatimes.com/terms/tou.html",296,economics,IN,en,Economic Times,"https://img.etimg.com/thumb/msid-101530064,width-600,resizemode-4,imglength-14812/markets/stocks/stock-liveblog/adani-power-stocks-live-updates-06-jul-2023.jpg",False,@EconomicTimes,16.276602,2d6e3c0c2673fb375711075037cd8d52
Adani Green To Raise Rs 123 Billion In Clean Energy Push,Reuters,2023-07-06 11:16:20,full,https://www.ndtv.com/india-news/adani-green-to-raise-rs-123-billion-in-clean-energy-push-4183104,ndtv.com,"Adani Green Energy, controlled by billionaire Gautam Adani, said today it approved raising Rs 123 billion through qualified institutional placement.","Adani Green Energy, controlled by billionaire Gautam Adani, said today it approved raising Rs 123 billion through qualified institutional placement.
The renewables company will use the funds to diversify its green energy supply in India, Bloomberg had reported earlier in the day, citing sources familiar with the matter.
The company plans to expand its green energy capacity by about 3 gigawatts this fiscal year, spending around Rs 140 billion, its finance chief Phuntsok Wangyal had said in May.
India's renewables sector has been one of the most lucrative sectors for international investors, finding its spot among one of the country's top five industries for overseas funds last year.",ndtv.com,920,news,IN,en,Reuters,https://c.ndtvimg.com/2023-07/qoii90kg_adani-generic_625x300_06_July_23.jpg,False,@ndtv,16.272547,17e54c7e9473e6e8484547a925af72c7
Adani Green weighs raising $1.5 billion in funding,Faizan Javed,2023-07-06 08:37:02,full,https://www.moneycontrol.com/news/business/adani-green-weighs-raising-1-5-billion-in-funding-10915491.html,moneycontrol.com,"Billionaire Gautam Adani's renewable energy unit's board is set to discuss plans to raise funds from institutional investors on Thursday, the firm said earlier this week in a stock exchange filing.","Adani Green Energy is considering raising about $1.5 billion to fund its green diversification in India, Bloomberg News reported on Thursday, citing people familiar with the matter.
Billionaire Gautam Adani's renewable energy unit's board is set to discuss plans to raise funds from institutional investors on Thursday, the firm said earlier this week in a stock exchange filing.
Thursday's report comes after two other Adani group companies - Adani Transmission and Adani Enterprise - revealed plans in May to raise up to $2.",moneycontrol.com,2753,finance,IN,en,Faizan Javed,https://images.moneycontrol.com/static-mcnews/2023/04/397635018-770x433.jpg,False,@moneycontrolcom,16.2317,34f38c2b19980eb9e4f55e1fb93b4dc1
Adani promoters may pare more stake in group companies: Report,Business Today Desk,2023-07-06 05:30:00,timezone unknown,https://www.businesstoday.in/latest/corporate/story/adani-promoters-may-pare-more-stake-in-group-companies-report-388411-2023-07-06,businesstoday.in,Adani Group promoters have decided to prune their holdings through a combination of primary and secondary stake sales as they believe that building cash reserves is the best way forward.,"Adani Group promoters, led by Gautam Adani, are reportedly paring holdings in the group companies in order to create a liquidity buffer. This could be used to tap new opportunities and infuse equity in various units.

A person aware of the developments told The Economic Times that the promoters have decided to prune their holdings through a combination of primary and secondary stake sales as they believe that building cash reserves is the best way forward considering the uncertain global investment environment.",businesstoday.in,5004,news,IN,en,Business Today Desk,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202307/adani-00-1200-sixteen_nine.jpg,False,@business_today,16.225117,76302e8771d01a770ec074f978a2babf
Adani group promoters looking to trim more stake to build cash reserves,Business Standard,2023-07-06 04:11:12,full,https://www.business-standard.com/companies/news/adani-group-promoters-looking-to-trim-more-stake-to-build-cash-reserves-123070600146_1.html,business-standard.com,"Adani Group Promoters: The Adani family owns over 60 per cent stake in the group's listed companies, except Adani Green Energy and ACC Ltd","Photo: Bloomberg
BS Web Team
 New Delhi 
 The 
promoters of the Adani group
 are looking to cut more of their stake in the group's companies to create a liquidity buffer for new opportunities, 
The Economic Times (ET)
 reported on Thursday. So far, the promoters have sold stakes to GQG partners and are now having discussions with global investors to divest more.
 
 
 ""They (promoters) are of the view that building cash reserves is the best way forward given the uncertain global investment environment,"" a person aware of the matter was quoted as saying in the report.",business-standard.com,1298,news,IN,en,"BS Web Team,Business Standard",https://bsmedia.business-standard.com/_media/bs/img/article/2023-05/17/full/1684331929-1725.jpg,False,@bsindia,16.182383,2076eee672dcad9f39f8aaf97ba54f94
